hip,ra_deg,dec_deg,mag,name,desig
12686,40.748,53.5261,5.85,,
12692,40.7618,55.106,5.76,,11 Per
12706,40.8252,3.2358,3.47,Kaffaljidhma,γ Cet
12719,40.863,27.7071,4.65,,35 Ari
12768,41.0215,44.297,5.43,,14 Per
12770,41.0306,-13.8587,4.24,,π Cet
12777,41.0499,49.2284,4.1,,θ Per
12803,41.1374,15.3119,5.78,,ο Ari
12821,41.2071,67.8246,5.95,,
12828,41.2356,10.1141,4.27,,μ Cet
12832,41.2399,12.4458,5.17,,38 Ari
12843,41.2758,-18.5726,4.47,,τ1 Eri
12871,41.3645,-63.7046,5.73,,γ Hor
12876,41.386,-67.6166,4.83,,ζ Hyi
13055,41.9488,81.4485,5.8,,
13061,41.9773,29.2471,4.52,Lilii Borea,39 Ari
13108,42.1337,18.2838,5.83,,40 Ari
13121,42.1913,25.1881,5.89,,VZ Ari
13141,42.2562,-62.8065,5.25,,ν Hor
13147,42.2726,-32.4059,4.45,,β For
13165,42.3232,17.4643,5.26,Al Butain,π Ari
13202,42.4758,-27.942,5.39,,γ2 For
13209,42.496,27.2605,3.61,Bharani,c Ari
13225,42.5616,-35.8436,5.92,,η2 For
13244,42.6186,-75.0669,4.76,,ν Hyi
13254,42.6461,38.3186,4.22,,16 Per
13265,42.6684,-35.6758,5.48,,η3 For
13268,42.6742,55.8955,3.77,Miram,η Per
13288,42.7597,-21.004,4.76,Angetenar,τ2 Eri
13327,42.8733,15.0821,5.52,,σ Ari
13328,42.8785,35.0597,4.56,,17 Per
13339,42.9239,46.8419,5.86,,
13367,42.9948,68.8885,5.94,,SU Cas
13473,43.3933,-38.437,5.93,,ψ For
13479,43.3972,-22.3763,5.93,,
13490,43.4276,38.3375,5.34,,20 Per
13531,43.5644,52.7625,3.93,,τ Per
13654,43.9521,18.3316,5.76,,45 Ari
13665,43.9872,61.5211,5.59,,
13679,44.0574,8.3816,5.97,,
13701,44.1069,-8.8981,3.89,Azha,η Eri
13702,44.109,18.0231,5.58,,ρ Ari
13717,44.1559,-3.7123,5.16,,
13775,44.322,31.9342,5.1,,21 Per
13782,44.349,-23.8622,5.44,,4 Eri
13834,44.5218,20.6687,5.8,,47 Ari
13835,44.5239,-23.606,5.82,,6 Eri
13847,44.5653,-40.3047,2.88,Acamar,θ1 Eri
13874,44.6753,-2.7829,5.22,,
13879,44.6903,39.6627,4.68,Gorgonea Secunda,π Per
13884,44.6992,-64.0713,4.98,,β Hor
13905,44.7653,35.1831,4.94,,24 Per
13914,44.803,21.3404,4.63,,ε Ari
13942,44.9008,-25.2741,5.69,,ζ For
13949,44.9162,41.0329,5.89,,
13951,44.9215,-2.465,5.56,,5 Eri
13954,44.9288,8.9074,4.71,Menkar,λ Cet
13965,44.9575,47.2207,5.47,,
14036,45.1839,10.8704,5.93,,
14043,45.2176,52.3517,5.24,,
14060,45.2918,-7.663,5.75,Aludhi,ρ1 Eri
14086,45.4068,-28.0916,5.88,,ε For
14109,45.4756,26.4624,5.91,,49 Ari
14110,45.4838,-9.9614,5.84,,
14131,45.5644,-71.9025,5.51,,θ Hyi
14135,45.5699,4.0897,2.54,Menkar,α Cet
14143,45.5938,4.3529,5.62,,93 Cet
14146,45.5979,-23.6245,4.08,,τ3 Eri
14168,45.6761,-7.6855,5.32,,ρ2 Eri
14187,45.7328,-46.975,5.81,,
14240,45.9034,-59.7378,5.12,,μ Hor
14293,46.0688,-7.6009,5.26,,ρ3 Eri
14328,46.1991,53.5064,2.91,,γ Per
14354,46.2941,38.8403,3.32,Gorgonea Tertia,ρ Per
14376,46.3612,25.2552,5.45,,52 Ari
14382,46.385,56.7057,4.77,,k Per
14417,46.5327,79.4185,5.49,,
14439,46.5987,13.1873,5.64,,
14456,46.6396,-6.0886,5.23,,
14502,46.8292,64.0576,5.89,,
14521,46.8839,-78.9892,5.67,,BN Hyi
14576,47.0422,40.9556,2.09,Algol,β Per
14632,47.2667,49.6133,4.05,,ι Per
14668,47.374,44.8575,3.79,Misam,κ Per
14677,47.4031,29.0771,5.74,,55 Ari
14764,47.6616,11.8726,5.97,,
14817,47.8224,39.6116,4.61,Gorgonea Quarta,ω Per
14838,47.9074,19.7267,4.35,Botein,δ Ari
14844,47.9278,81.4707,5.92,,
14862,47.9845,74.3937,4.85,,
14879,48.0189,-28.9876,3.8,Dalim,α For
14893,48.0594,27.257,5.78,,56 Ari
14913,48.1073,-44.4197,5.92,,
14915,48.1099,6.6609,5.55,,EL Cet
14930,48.1382,-57.3215,5.71,,TW Hor
14954,48.1935,-1.1961,5.07,,94 Cet
15004,48.3495,48.177,5.93,,
15110,48.7254,21.0444,4.87,,ζ Ari
15154,48.8352,30.5567,5.61,,
15192,48.9499,57.1406,5.79,,
15197,48.9584,-8.8197,4.8,Zibal,ζ Eri
15201,48.9903,-77.3885,5.51,,ι Hyi
15219,49.0508,50.9377,5.04,,
15241,49.1466,32.184,5.98,,V0573 Per
15305,49.3608,-47.7517,5.84,,
15330,49.4423,-62.5753,5.53,,ζ1 Ret
15334,49.4406,39.2834,5.97,,
15338,49.4473,44.025,5.49,,30 Per
15357,49.5108,-28.7971,5.93,,
15371,49.5534,-62.5064,5.24,,ζ2 Ret
15382,49.5921,-22.5111,4.86,,15 Eri
15383,49.5934,-0.9303,5.62,,95 Cet
15404,49.6573,50.2222,5.16,,29 Per
15411,49.6715,-18.5598,5.72,,
15416,49.6826,34.2227,4.85,,
15444,49.7818,50.095,5.05,,31 Per
15457,49.8404,3.3702,4.84,,κ Cet
15474,49.8792,-21.7579,3.7,Angetenar,τ4 Eri
15479,49.8954,-24.1229,5.63,,
15510,49.9819,-43.0698,4.26,,e Eri
15514,49.9825,27.0711,5.91,,59 Ari
15520,49.997,65.6523,4.74,,BK Cam
15547,50.0823,77.7347,5.44,,
15549,50.0848,29.0485,4.47,,
15619,50.2783,3.6756,5.7,,97 Cet
15627,50.3068,21.1471,5.27,,τ Ari
15643,50.35,-23.6351,5.5,,
15648,50.3607,43.3297,4.96,,l Per
